epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1177,1.9531,10.7162,1.37623,0.5523,0.25363,0.26672,0.14263,1.6775,17.0454,1.35285,0.00018009,0.00018009,0.00018009
2,14.6913,1.64657,3.68946,1.24745,0.55179,0.52723,0.46403,0.22769,1.61027,4.45434,1.30188,0.000365639,0.000365639,0.000365639
3,16.8375,1.58446,2.36357,1.22882,0.77059,0.51487,0.53337,0.26737,1.61004,1.43072,1.35339,0.000549956,0.000549956,0.000549956
4,18.9222,1.54711,1.85489,1.21637,0.51644,0.55219,0.61461,0.35492,1.34486,1.39463,1.15891,0.000660397,0.000660397,0.000660397
5,20.9761,1.44995,1.58536,1.16929,0.64818,0.52295,0.5704,0.34033,1.39726,1.24744,1.23553,0.000658196,0.000658196,0.000658196
6,23.0457,1.46089,1.37958,1.19496,0.67886,0.59245,0.61251,0.34999,1.49995,1.22768,1.27788,0.000655994,0.000655994,0.000655994
7,25.0977,1.4482,1.20713,1.16561,0.64973,0.56665,0.59821,0.29654,1.65337,1.50427,1.33113,0.000653793,0.000653793,0.000653793
8,27.1545,1.41011,1.21921,1.13296,0.60466,0.65725,0.76024,0.41207,1.39123,1.22336,1.22019,0.000651592,0.000651592,0.000651592
9,29.3023,1.37273,1.13391,1.14553,0.78608,0.60337,0.62952,0.32599,1.58631,1.12125,1.31107,0.000649391,0.000649391,0.000649391
10,31.4602,1.36343,1.09084,1.15051,0.76831,0.70282,0.83352,0.48087,1.3717,0.96168,1.21774,0.00064719,0.00064719,0.00064719
11,33.6398,1.36084,1.05792,1.1193,0.85101,0.73749,0.8167,0.45719,1.3031,0.91514,1.20325,0.000644989,0.000644989,0.000644989
12,35.7834,1.32819,1.03512,1.13781,0.73543,0.86572,0.9247,0.55272,1.23258,0.78083,1.15377,0.000642788,0.000642788,0.000642788
13,37.9315,1.28347,0.91994,1.07966,0.67827,0.87029,0.91941,0.55145,1.32771,0.77903,1.19834,0.000640587,0.000640587,0.000640587
14,40.1019,1.25373,0.91623,1.08855,0.64938,0.80798,0.89661,0.53153,1.39419,0.91606,1.28741,0.000638386,0.000638386,0.000638386
15,42.2729,1.2635,0.88642,1.08394,0.88075,0.90745,0.91689,0.58459,1.24574,0.8117,1.15261,0.000636185,0.000636185,0.000636185
16,44.4148,1.18352,0.88551,1.08259,0.88134,0.76562,0.92717,0.59591,1.29825,0.75889,1.1898,0.000633983,0.000633983,0.000633983
17,46.5444,1.19224,0.85577,1.0582,0.81431,0.69468,0.858,0.46535,1.40037,0.8609,1.24301,0.000631782,0.000631782,0.000631782
18,48.673,1.18161,0.82556,1.07581,0.72529,0.83434,0.86755,0.53392,1.34042,0.78788,1.20841,0.000629581,0.000629581,0.000629581
19,50.8066,1.19469,0.84059,1.05734,0.59975,0.84844,0.76143,0.46634,1.22174,0.95779,1.18203,0.00062738,0.00062738,0.00062738
20,52.9528,1.12211,0.79565,1.05705,0.75816,0.84647,0.89915,0.48689,1.2978,0.78338,1.21058,0.000625179,0.000625179,0.000625179
21,55.0665,1.14673,0.76086,1.04101,0.79073,0.83707,0.84685,0.54459,1.2097,0.73177,1.15501,0.000622978,0.000622978,0.000622978
